incident_id,date,line,category,severity,assigned_to,duration_minutes,description,resolution,root_cause,preventive_action,recurrence_count
INC-719176,2024-03-08,Line-A,Power,P3-Medium,Alice Chen,361,Unexpected shutdown observed on Line-A. Operator reported loss of communication with PLC unit. Investigation revealed network packet loss. Technician Alice Chen restored service after 361 minutes. Root cause: Manufacturing defect in sensor batch. Preventive action: Replaced faulty sensor module.,Root cause fixed,Manufacturing defect in sensor batch,Replaced faulty sensor module,0
INC-331148,2024-04-04,Line-A,Security,P2-High,Bob Mehra,381,Recurring fault detected on Line-A. Third occurrence this quarter. Bob Mehra performed deep-dive analysis. coolant pressure drop identified as systemic issue. Long-term fix: Scheduled bi-weekly lubrication cycle. Scheduled for next maintenance window.,Monitoring extended,Configuration drift post-update,Scheduled bi-weekly lubrication cycle,2
INC-197251,2024-01-25,Line-A,Software,P4-Low,Bob Mehra,405,Unexpected shutdown observed on Line-A. Operator reported loss of communication with PLC unit. Investigation revealed thermal runaway in drive unit. Technician Bob Mehra restored service after 405 minutes. Root cause: Configuration drift post-update. Preventive action: Replaced faulty sensor module.,Root cause fixed,Configuration drift post-update,Replaced faulty sensor module,2
INC-969693,2024-10-05,Line-C,Network,P3-Medium,Edward Kim,208,Production halted on Line-C. lubricant contamination caused cascading failures in downstream units. Containment: Scheduled bi-weekly lubrication cycle. Full recovery achieved at 208 minutes after detection. No product loss reported. Incident categorised as Network.,Monitoring extended,Manufacturing defect in sensor batch,Scheduled bi-weekly lubrication cycle,2
INC-498591,2023-10-12,Line-B,Network,P1-Critical,Fatima Al-Hassan,452,Unexpected shutdown observed on Line-B. Operator reported loss of communication with PLC unit. Investigation revealed network packet loss. Technician Fatima Al-Hassan restored service after 452 minutes. Root cause: Manufacturing defect in sensor batch. Preventive action: Implemented redundant network path.,Escalated to vendor,Manufacturing defect in sensor batch,Implemented redundant network path,5
INC-738720,2024-10-12,Line-C,Software,P3-Medium,Bob Mehra,374,Unexpected shutdown observed on Line-C. Operator reported loss of communication with PLC unit. Investigation revealed network packet loss. Technician Bob Mehra restored service after 374 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Adjusted PLC timeout threshold.,Workaround applied,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,4
INC-983794,2023-02-27,Line-B,Hardware,P4-Low,Bob Mehra,127,Production halted on Line-B. thermal runaway in drive unit caused cascading failures in downstream units. Containment: Adjusted PLC timeout threshold. Full recovery achieved at 127 minutes after detection. No product loss reported. Incident categorised as Hardware.,Workaround applied,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,0
INC-514850,2024-10-20,Line-C,Network,P3-Medium,Diana Patel,123,Recurring fault detected on Line-C. Third occurrence this quarter. Diana Patel performed deep-dive analysis. network packet loss identified as systemic issue. Long-term fix: Scheduled bi-weekly lubrication cycle. Scheduled for next maintenance window.,Escalated to vendor,Inadequate preventive maintenance interval,Scheduled bi-weekly lubrication cycle,1
INC-711878,2024-02-13,Line-C,Process,P2-High,Bob Mehra,397,Recurring fault detected on Line-C. Third occurrence this quarter. Bob Mehra performed deep-dive analysis. dust ingress on PCB identified as systemic issue. Long-term fix: Scheduled bi-weekly lubrication cycle. Scheduled for next maintenance window.,No action needed,Inadequate preventive maintenance interval,Scheduled bi-weekly lubrication cycle,1
INC-725380,2023-03-07,Line-B,Network,P4-Low,Edward Kim,336,Recurring fault detected on Line-B. Third occurrence this quarter. Edward Kim performed deep-dive analysis. coolant pressure drop identified as systemic issue. Long-term fix: Updated firmware to v3.4.1. Scheduled for next maintenance window.,Escalated to vendor,Configuration drift post-update,Updated firmware to v3.4.1,3
INC-905934,2024-10-18,Line-D,Security,P3-Medium,Edward Kim,364,Production halted on Line-D. coolant pressure drop caused cascading failures in downstream units. Containment: Adjusted PLC timeout threshold. Full recovery achieved at 364 minutes after detection. No product loss reported. Incident categorised as Security.,No action needed,Manufacturing defect in sensor batch,Adjusted PLC timeout threshold,0
INC-632342,2023-04-19,Line-C,Hardware,P2-High,Diana Patel,271,Alarm triggered on Line-C due to coolant pressure drop. Severity assessed as P2-High. Response team dispatched at T+53min. Issue resolved by Diana Patel. System validated and returned to normal operation. Lessons learned documented.,No action needed,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,5
INC-120422,2023-04-25,Line-B,Power,P3-Medium,Bob Mehra,321,Recurring fault detected on Line-B. Third occurrence this quarter. Bob Mehra performed deep-dive analysis. dust ingress on PCB identified as systemic issue. Long-term fix: Scheduled bi-weekly lubrication cycle. Scheduled for next maintenance window.,No action needed,Manufacturing defect in sensor batch,Scheduled bi-weekly lubrication cycle,2
INC-234628,2024-11-06,Line-B,Security,P2-High,Alice Chen,432,Alarm triggered on Line-B due to firmware mismatch. Severity assessed as P2-High. Response team dispatched at T+9min. Issue resolved by Alice Chen. System validated and returned to normal operation. Lessons learned documented.,Escalated to vendor,Environmental factor (humidity),Updated firmware to v3.4.1,4
INC-804314,2024-10-27,Line-B,Power,P4-Low,Carlos Ruiz,380,Recurring fault detected on Line-B. Third occurrence this quarter. Carlos Ruiz performed deep-dive analysis. dust ingress on PCB identified as systemic issue. Long-term fix: Adjusted PLC timeout threshold. Scheduled for next maintenance window.,No action needed,Configuration drift post-update,Adjusted PLC timeout threshold,3
INC-717024,2023-08-14,Line-D,Power,P2-High,Alice Chen,316,Alarm triggered on Line-D due to firmware mismatch. Severity assessed as P2-High. Response team dispatched at T+40min. Issue resolved by Alice Chen. System validated and returned to normal operation. Lessons learned documented.,Root cause fixed,Manufacturing defect in sensor batch,Implemented redundant network path,0
INC-324643,2024-07-06,Line-A,Network,P1-Critical,Bob Mehra,136,Recurring fault detected on Line-A. Third occurrence this quarter. Bob Mehra performed deep-dive analysis. PLC watchdog timeout identified as systemic issue. Long-term fix: Updated firmware to v3.4.1. Scheduled for next maintenance window.,Workaround applied,Vendor firmware bug — ticket raised,Updated firmware to v3.4.1,5
INC-544154,2024-02-25,Line-D,Hardware,P4-Low,Bob Mehra,352,Production halted on Line-D. network packet loss caused cascading failures in downstream units. Containment: Updated firmware to v3.4.1. Full recovery achieved at 352 minutes after detection. No product loss reported. Incident categorised as Hardware.,Escalated to vendor,Manufacturing defect in sensor batch,Updated firmware to v3.4.1,5
INC-360735,2023-07-16,Line-A,Network,P1-Critical,Fatima Al-Hassan,424,Unexpected shutdown observed on Line-A. Operator reported loss of communication with PLC unit. Investigation revealed unplanned power fluctuation. Technician Fatima Al-Hassan restored service after 424 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Adjusted PLC timeout threshold.,Workaround applied,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,4
INC-947272,2024-07-17,Line-D,Power,P4-Low,Bob Mehra,462,Recurring fault detected on Line-D. Third occurrence this quarter. Bob Mehra performed deep-dive analysis. thermal runaway in drive unit identified as systemic issue. Long-term fix: Installed surge protector. Scheduled for next maintenance window.,Root cause fixed,Configuration drift post-update,Installed surge protector,0
INC-161483,2023-06-18,Line-A,Power,P2-High,Alice Chen,124,Recurring fault detected on Line-A. Third occurrence this quarter. Alice Chen performed deep-dive analysis. unplanned power fluctuation identified as systemic issue. Long-term fix: Installed surge protector. Scheduled for next maintenance window.,Escalated to vendor,Environmental factor (humidity),Installed surge protector,0
INC-262316,2023-07-14,Line-D,Software,P4-Low,Carlos Ruiz,353,Recurring fault detected on Line-D. Third occurrence this quarter. Carlos Ruiz performed deep-dive analysis. unplanned power fluctuation identified as systemic issue. Long-term fix: Adjusted PLC timeout threshold. Scheduled for next maintenance window.,No action needed,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,1
INC-159642,2024-06-04,Line-A,Process,P1-Critical,Edward Kim,314,Alarm triggered on Line-A due to PLC watchdog timeout. Severity assessed as P1-Critical. Response team dispatched at T+35min. Issue resolved by Edward Kim. System validated and returned to normal operation. Lessons learned documented.,Root cause fixed,Manufacturing defect in sensor batch,Updated firmware to v3.4.1,1
INC-707040,2024-08-31,Line-A,Process,P1-Critical,Edward Kim,470,Alarm triggered on Line-A due to network packet loss. Severity assessed as P1-Critical. Response team dispatched at T+41min. Issue resolved by Edward Kim. System validated and returned to normal operation. Lessons learned documented.,Root cause fixed,Manufacturing defect in sensor batch,Installed surge protector,4
INC-237235,2024-11-18,Line-A,Software,P3-Medium,Diana Patel,137,Recurring fault detected on Line-A. Third occurrence this quarter. Diana Patel performed deep-dive analysis. network packet loss identified as systemic issue. Long-term fix: Adjusted PLC timeout threshold. Scheduled for next maintenance window.,No action needed,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,3
INC-238890,2023-12-24,Line-C,Hardware,P1-Critical,Alice Chen,124,Production halted on Line-C. firmware mismatch caused cascading failures in downstream units. Containment: Updated firmware to v3.4.1. Full recovery achieved at 124 minutes after detection. No product loss reported. Incident categorised as Hardware.,Root cause fixed,Vendor firmware bug — ticket raised,Updated firmware to v3.4.1,1
INC-800305,2024-07-21,Line-C,Hardware,P2-High,Carlos Ruiz,328,Unexpected shutdown observed on Line-C. Operator reported loss of communication with PLC unit. Investigation revealed dust ingress on PCB. Technician Carlos Ruiz restored service after 328 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Adjusted PLC timeout threshold.,No action needed,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,5
INC-734210,2023-08-04,Line-A,Network,P3-Medium,Bob Mehra,94,Production halted on Line-A. firmware mismatch caused cascading failures in downstream units. Containment: Adjusted PLC timeout threshold. Full recovery achieved at 94 minutes after detection. No product loss reported. Incident categorised as Network.,No action needed,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,1
INC-103717,2023-12-08,Line-C,Software,P4-Low,Edward Kim,439,Unexpected shutdown observed on Line-C. Operator reported loss of communication with PLC unit. Investigation revealed coolant pressure drop. Technician Edward Kim restored service after 439 minutes. Root cause: Environmental factor (humidity). Preventive action: Updated firmware to v3.4.1.,Workaround applied,Environmental factor (humidity),Updated firmware to v3.4.1,5
INC-672092,2023-02-06,Line-C,Security,P4-Low,Bob Mehra,72,Alarm triggered on Line-C due to unplanned power fluctuation. Severity assessed as P4-Low. Response team dispatched at T+9min. Issue resolved by Bob Mehra. System validated and returned to normal operation. Lessons learned documented.,No action needed,Manufacturing defect in sensor batch,Scheduled bi-weekly lubrication cycle,4
INC-815198,2023-09-13,Line-B,Network,P2-High,Diana Patel,475,Alarm triggered on Line-B due to thermal runaway in drive unit. Severity assessed as P2-High. Response team dispatched at T+27min. Issue resolved by Diana Patel. System validated and returned to normal operation. Lessons learned documented.,Root cause fixed,Manufacturing defect in sensor batch,Implemented redundant network path,2
INC-920391,2024-02-26,Line-D,Power,P2-High,Edward Kim,27,Production halted on Line-D. sensor calibration drift caused cascading failures in downstream units. Containment: Replaced faulty sensor module. Full recovery achieved at 27 minutes after detection. No product loss reported. Incident categorised as Power.,Workaround applied,Environmental factor (humidity),Replaced faulty sensor module,2
INC-466643,2023-11-09,Line-B,Hardware,P1-Critical,Fatima Al-Hassan,117,Recurring fault detected on Line-B. Third occurrence this quarter. Fatima Al-Hassan performed deep-dive analysis. coolant pressure drop identified as systemic issue. Long-term fix: Installed surge protector. Scheduled for next maintenance window.,Workaround applied,Configuration drift post-update,Installed surge protector,1
INC-772642,2024-06-05,Line-A,Hardware,P2-High,Fatima Al-Hassan,410,Production halted on Line-A. PLC watchdog timeout caused cascading failures in downstream units. Containment: Implemented redundant network path. Full recovery achieved at 410 minutes after detection. No product loss reported. Incident categorised as Hardware.,Escalated to vendor,Manufacturing defect in sensor batch,Implemented redundant network path,5
INC-462479,2023-11-18,Line-C,Software,P1-Critical,Alice Chen,34,Recurring fault detected on Line-C. Third occurrence this quarter. Alice Chen performed deep-dive analysis. sensor calibration drift identified as systemic issue. Long-term fix: Scheduled bi-weekly lubrication cycle. Scheduled for next maintenance window.,Escalated to vendor,Inadequate preventive maintenance interval,Scheduled bi-weekly lubrication cycle,4
INC-481913,2024-03-17,Line-A,Software,P2-High,Diana Patel,15,Alarm triggered on Line-A due to coolant pressure drop. Severity assessed as P2-High. Response team dispatched at T+38min. Issue resolved by Diana Patel. System validated and returned to normal operation. Lessons learned documented.,Root cause fixed,Environmental factor (humidity),Adjusted PLC timeout threshold,5
INC-442027,2024-02-17,Line-C,Process,P3-Medium,Edward Kim,274,Recurring fault detected on Line-C. Third occurrence this quarter. Edward Kim performed deep-dive analysis. firmware mismatch identified as systemic issue. Long-term fix: Adjusted PLC timeout threshold. Scheduled for next maintenance window.,No action needed,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,4
INC-525800,2024-07-15,Line-B,Process,P4-Low,Bob Mehra,330,Production halted on Line-B. unplanned power fluctuation caused cascading failures in downstream units. Containment: Adjusted PLC timeout threshold. Full recovery achieved at 330 minutes after detection. No product loss reported. Incident categorised as Process.,Root cause fixed,Configuration drift post-update,Adjusted PLC timeout threshold,2
INC-636004,2024-04-29,Line-C,Security,P4-Low,Bob Mehra,241,Alarm triggered on Line-C due to PLC watchdog timeout. Severity assessed as P4-Low. Response team dispatched at T+48min. Issue resolved by Bob Mehra. System validated and returned to normal operation. Lessons learned documented.,Workaround applied,Environmental factor (humidity),Installed surge protector,5
INC-254511,2023-01-26,Line-A,Network,P3-Medium,Carlos Ruiz,130,Alarm triggered on Line-A due to network packet loss. Severity assessed as P3-Medium. Response team dispatched at T+56min. Issue resolved by Carlos Ruiz. System validated and returned to normal operation. Lessons learned documented.,Root cause fixed,Inadequate preventive maintenance interval,Adjusted PLC timeout threshold,1
INC-618392,2024-02-14,Line-D,Hardware,P1-Critical,Edward Kim,114,Recurring fault detected on Line-D. Third occurrence this quarter. Edward Kim performed deep-dive analysis. unplanned power fluctuation identified as systemic issue. Long-term fix: Adjusted PLC timeout threshold. Scheduled for next maintenance window.,Workaround applied,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,1
INC-989545,2023-05-05,Line-A,Power,P4-Low,Alice Chen,252,Alarm triggered on Line-A due to sensor calibration drift. Severity assessed as P4-Low. Response team dispatched at T+8min. Issue resolved by Alice Chen. System validated and returned to normal operation. Lessons learned documented.,Escalated to vendor,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,1
INC-571932,2023-09-23,Line-D,Hardware,P3-Medium,Fatima Al-Hassan,243,Recurring fault detected on Line-D. Third occurrence this quarter. Fatima Al-Hassan performed deep-dive analysis. dust ingress on PCB identified as systemic issue. Long-term fix: Installed surge protector. Scheduled for next maintenance window.,Workaround applied,Vendor firmware bug — ticket raised,Installed surge protector,5
INC-345884,2023-10-06,Line-C,Process,P4-Low,Edward Kim,54,Production halted on Line-C. network packet loss caused cascading failures in downstream units. Containment: Implemented redundant network path. Full recovery achieved at 54 minutes after detection. No product loss reported. Incident categorised as Process.,No action needed,Environmental factor (humidity),Implemented redundant network path,2
INC-535020,2024-02-22,Line-A,Power,P2-High,Bob Mehra,376,Unexpected shutdown observed on Line-A. Operator reported loss of communication with PLC unit. Investigation revealed unplanned power fluctuation. Technician Bob Mehra restored service after 376 minutes. Root cause: Configuration drift post-update. Preventive action: Adjusted PLC timeout threshold.,No action needed,Configuration drift post-update,Adjusted PLC timeout threshold,4
INC-600149,2023-01-07,Line-D,Power,P1-Critical,Diana Patel,371,Recurring fault detected on Line-D. Third occurrence this quarter. Diana Patel performed deep-dive analysis. unplanned power fluctuation identified as systemic issue. Long-term fix: Installed surge protector. Scheduled for next maintenance window.,No action needed,Vendor firmware bug — ticket raised,Installed surge protector,2
INC-452457,2024-11-15,Line-D,Hardware,P2-High,Diana Patel,263,Recurring fault detected on Line-D. Third occurrence this quarter. Diana Patel performed deep-dive analysis. network packet loss identified as systemic issue. Long-term fix: Implemented redundant network path. Scheduled for next maintenance window.,Escalated to vendor,Environmental factor (humidity),Implemented redundant network path,5
INC-188025,2024-10-20,Line-B,Security,P2-High,Diana Patel,318,Unexpected shutdown observed on Line-B. Operator reported loss of communication with PLC unit. Investigation revealed dust ingress on PCB. Technician Diana Patel restored service after 318 minutes. Root cause: Environmental factor (humidity). Preventive action: Updated firmware to v3.4.1.,Escalated to vendor,Environmental factor (humidity),Updated firmware to v3.4.1,1
INC-898207,2024-01-24,Line-D,Software,P1-Critical,Bob Mehra,247,Production halted on Line-D. unplanned power fluctuation caused cascading failures in downstream units. Containment: Implemented redundant network path. Full recovery achieved at 247 minutes after detection. No product loss reported. Incident categorised as Software.,No action needed,Configuration drift post-update,Implemented redundant network path,3
INC-919182,2024-10-29,Line-C,Network,P4-Low,Alice Chen,129,Unexpected shutdown observed on Line-C. Operator reported loss of communication with PLC unit. Investigation revealed dust ingress on PCB. Technician Alice Chen restored service after 129 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Updated firmware to v3.4.1.,Root cause fixed,Inadequate preventive maintenance interval,Updated firmware to v3.4.1,0
INC-691364,2023-08-12,Line-B,Security,P1-Critical,Bob Mehra,257,Unexpected shutdown observed on Line-B. Operator reported loss of communication with PLC unit. Investigation revealed sensor calibration drift. Technician Bob Mehra restored service after 257 minutes. Root cause: Configuration drift post-update. Preventive action: Replaced faulty sensor module.,Escalated to vendor,Configuration drift post-update,Replaced faulty sensor module,5
INC-427110,2024-08-12,Line-C,Security,P2-High,Carlos Ruiz,70,Unexpected shutdown observed on Line-C. Operator reported loss of communication with PLC unit. Investigation revealed firmware mismatch. Technician Carlos Ruiz restored service after 70 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Replaced faulty sensor module.,Escalated to vendor,Inadequate preventive maintenance interval,Replaced faulty sensor module,3
INC-464069,2024-06-29,Line-B,Network,P2-High,Alice Chen,427,Unexpected shutdown observed on Line-B. Operator reported loss of communication with PLC unit. Investigation revealed thermal runaway in drive unit. Technician Alice Chen restored service after 427 minutes. Root cause: Vendor firmware bug — ticket raised. Preventive action: Adjusted PLC timeout threshold.,Escalated to vendor,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,5
INC-841666,2023-06-06,Line-C,Network,P3-Medium,Alice Chen,236,Recurring fault detected on Line-C. Third occurrence this quarter. Alice Chen performed deep-dive analysis. unplanned power fluctuation identified as systemic issue. Long-term fix: Installed surge protector. Scheduled for next maintenance window.,Escalated to vendor,Manufacturing defect in sensor batch,Installed surge protector,1
INC-971084,2023-03-30,Line-C,Hardware,P4-Low,Edward Kim,152,Alarm triggered on Line-C due to unplanned power fluctuation. Severity assessed as P4-Low. Response team dispatched at T+25min. Issue resolved by Edward Kim. System validated and returned to normal operation. Lessons learned documented.,No action needed,Vendor firmware bug — ticket raised,Adjusted PLC timeout threshold,3
INC-472060,2023-09-22,Line-B,Software,P4-Low,Diana Patel,108,Alarm triggered on Line-B due to coolant pressure drop. Severity assessed as P4-Low. Response team dispatched at T+36min. Issue resolved by Diana Patel. System validated and returned to normal operation. Lessons learned documented.,No action needed,Inadequate preventive maintenance interval,Installed surge protector,2
INC-682144,2023-09-04,Line-C,Security,P1-Critical,Edward Kim,383,Recurring fault detected on Line-C. Third occurrence this quarter. Edward Kim performed deep-dive analysis. network packet loss identified as systemic issue. Long-term fix: Updated firmware to v3.4.1. Scheduled for next maintenance window.,Escalated to vendor,Configuration drift post-update,Updated firmware to v3.4.1,5
INC-796212,2024-08-18,Line-D,Network,P1-Critical,Diana Patel,369,Production halted on Line-D. thermal runaway in drive unit caused cascading failures in downstream units. Containment: Replaced faulty sensor module. Full recovery achieved at 369 minutes after detection. No product loss reported. Incident categorised as Network.,No action needed,Environmental factor (humidity),Replaced faulty sensor module,3
INC-856321,2023-07-17,Line-C,Software,P3-Medium,Diana Patel,143,Unexpected shutdown observed on Line-C. Operator reported loss of communication with PLC unit. Investigation revealed lubricant contamination. Technician Diana Patel restored service after 143 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Implemented redundant network path.,No action needed,Inadequate preventive maintenance interval,Implemented redundant network path,0
INC-205409,2023-07-18,Line-B,Process,P2-High,Bob Mehra,404,Production halted on Line-B. lubricant contamination caused cascading failures in downstream units. Containment: Implemented redundant network path. Full recovery achieved at 404 minutes after detection. No product loss reported. Incident categorised as Process.,No action needed,Vendor firmware bug — ticket raised,Implemented redundant network path,1
INC-831295,2023-05-10,Line-C,Network,P3-Medium,Bob Mehra,38,Production halted on Line-C. dust ingress on PCB caused cascading failures in downstream units. Containment: Replaced faulty sensor module. Full recovery achieved at 38 minutes after detection. No product loss reported. Incident categorised as Network.,Escalated to vendor,Inadequate preventive maintenance interval,Replaced faulty sensor module,0
INC-600935,2023-04-27,Line-A,Hardware,P3-Medium,Edward Kim,109,Production halted on Line-A. lubricant contamination caused cascading failures in downstream units. Containment: Installed surge protector. Full recovery achieved at 109 minutes after detection. No product loss reported. Incident categorised as Hardware.,Root cause fixed,Inadequate preventive maintenance interval,Installed surge protector,3
INC-685181,2024-03-02,Line-D,Power,P1-Critical,Alice Chen,58,Unexpected shutdown observed on Line-D. Operator reported loss of communication with PLC unit. Investigation revealed sensor calibration drift. Technician Alice Chen restored service after 58 minutes. Root cause: Inadequate preventive maintenance interval. Preventive action: Scheduled bi-weekly lubrication cycle.,Monitoring extended,Inadequate preventive maintenance interval,Scheduled bi-weekly lubrication cycle,4
INC-739244,2023-04-12,Line-B,Hardware,P4-Low,Edward Kim,234,Unexpected shutdown observed on Line-B. Operator reported loss of communication with PLC unit. Investigation revealed lubricant contamination. Technician Edward Kim restored service after 234 minutes. Root cause: Vendor firmware bug — ticket raised. Preventive action: Implemented redundant network path.,Workaround applied,Vendor firmware bug — ticket raised,Implemented redundant network path,5
INC-528361,2024-04-06,Line-B,Power,P1-Critical,Carlos Ruiz,53,Unexpected shutdown observed on Line-B. Operator reported loss of communication with PLC unit. Investigation revealed network packet loss. Technician Carlos Ruiz restored service after 53 minutes. Root cause: Vendor firmware bug — ticket raised. Preventive action: Replaced faulty sensor module.,Monitoring extended,Vendor firmware bug — ticket raised,Replaced faulty sensor module,3
