run_id,date,line,product,shift,operator,target_units,actual_units,reject_units,oee_pct,downtime_minutes,downtime_cause,description
RUN-311559,2024-10-12,Line-A,Widget-Beta,Afternoon,Op-104,1229,1056,88,78.8,38,planned break,"Afternoon shift run on Line-A. Widget-Beta batch RUN-311559. Achieved 78.8% OEE against 1229 unit target. 1056 units produced, 88 scrapped. Key downtime event: planned break (38 min). Shift supervisor signed off."
RUN-852570,2023-04-08,Line-A,Gear-M5,Day,Op-103,743,559,33,70.7,28,material shortage,"Run RUN-852570: Line-A, Gear-M5, Day shift. Performance summary — Availability: 76.1%, Performance: 98.9%, Quality: 94.0%, OEE: 70.7%. Downtime cause: material shortage. Operator Op-103 reported no abnormal conditions."
RUN-629152,2024-03-19,Line-C,Valve-X200,Day,Op-105,1840,1376,90,69.9,9,quality hold,"Day shift run on Line-C. Valve-X200 batch RUN-629152. Achieved 69.9% OEE against 1840 unit target. 1376 units produced, 90 scrapped. Key downtime event: quality hold (9 min). Shift supervisor signed off."
RUN-704864,2023-08-07,Line-C,Widget-Beta,Afternoon,Op-104,714,551,13,75.5,23,changeover,"Afternoon shift run on Line-C. Widget-Beta batch RUN-704864. Achieved 75.5% OEE against 714 unit target. 551 units produced, 13 scrapped. Key downtime event: changeover (23 min). Shift supervisor signed off."
RUN-647639,2024-01-09,Line-D,Valve-X200,Night,Op-105,1856,1556,88,79.1,72,quality hold,Production run RUN-647639 on Line-D during Night shift. Product: Valve-X200. Target output: 1856 units. Actual output: 1556 units (OEE: 79.1%). Downtime: 72 minutes due to quality hold. Quality rejects: 88 units. Operator: Op-105. Run completed without safety incidents.
RUN-764721,2024-02-27,Line-D,Widget-Beta,Day,Op-102,1728,1298,73,70.8,40,tooling change,Production run RUN-764721 on Line-D during Day shift. Product: Widget-Beta. Target output: 1728 units. Actual output: 1298 units (OEE: 70.8%). Downtime: 40 minutes due to tooling change. Quality rejects: 73 units. Operator: Op-102. Run completed without safety incidents.
RUN-357516,2024-04-20,Line-C,Valve-X200,Night,Op-102,725,535,40,68.2,19,minor stoppages,"Night shift run on Line-C. Valve-X200 batch RUN-357516. Achieved 68.2% OEE against 725 unit target. 535 units produced, 40 scrapped. Key downtime event: minor stoppages (19 min). Shift supervisor signed off."
RUN-790666,2023-06-30,Line-D,Gear-M5,Afternoon,Op-104,1524,1176,85,71.5,3,planned break,"Run RUN-790666: Line-D, Gear-M5, Afternoon shift. Performance summary — Availability: 96.7%, Performance: 79.8%, Quality: 92.7%, OEE: 71.5%. Downtime cause: planned break. Operator Op-104 reported one label printer jam at 14:30."
RUN-804299,2023-04-03,Line-A,Pump-G10,Day,Op-101,1960,1560,110,74.0,8,unplanned jam,"Run RUN-804299: Line-A, Pump-G10, Day shift. Performance summary — Availability: 96.5%, Performance: 82.5%, Quality: 92.9%, OEE: 74.0%. Downtime cause: unplanned jam. Operator Op-101 reported one label printer jam at 14:30."
RUN-620566,2023-09-01,Line-D,Widget-Beta,Day,Op-101,1369,1234,59,85.9,106,material shortage,Production run RUN-620566 on Line-D during Day shift. Product: Widget-Beta. Target output: 1369 units. Actual output: 1234 units (OEE: 85.9%). Downtime: 106 minutes due to material shortage. Quality rejects: 59 units. Operator: Op-101. Run completed without safety incidents.
RUN-212002,2023-08-08,Line-A,Valve-X200,Afternoon,Op-105,1709,1341,103,72.4,54,minor stoppages,Production run RUN-212002 on Line-A during Afternoon shift. Product: Valve-X200. Target output: 1709 units. Actual output: 1341 units (OEE: 72.4%). Downtime: 54 minutes due to minor stoppages. Quality rejects: 103 units. Operator: Op-105. Run completed without safety incidents.
RUN-597920,2023-09-10,Line-C,Pump-G10,Afternoon,Op-103,1967,1521,95,72.5,14,planned break,"Run RUN-597920: Line-C, Pump-G10, Afternoon shift. Performance summary — Availability: 89.1%, Performance: 86.8%, Quality: 93.7%, OEE: 72.5%. Downtime cause: planned break. Operator Op-103 reported temp spike in oven unit at 22:00."
RUN-982348,2024-11-09,Line-C,Widget-Beta,Afternoon,Op-104,1665,1149,41,66.6,115,material shortage,"Run RUN-982348: Line-C, Widget-Beta, Afternoon shift. Performance summary — Availability: 83.8%, Performance: 82.4%, Quality: 96.4%, OEE: 66.6%. Downtime cause: material shortage. Operator Op-104 reported no abnormal conditions."
RUN-660894,2024-03-29,Line-A,Widget-Beta,Afternoon,Op-105,987,797,51,75.6,103,quality hold,Production run RUN-660894 on Line-A during Afternoon shift. Product: Widget-Beta. Target output: 987 units. Actual output: 797 units (OEE: 75.6%). Downtime: 103 minutes due to quality hold. Quality rejects: 51 units. Operator: Op-105. Run completed without safety incidents.
RUN-560163,2023-11-21,Line-D,Widget-Alpha,Afternoon,Op-103,816,596,45,67.5,26,tooling change,"Run RUN-560163: Line-D, Widget-Alpha, Afternoon shift. Performance summary — Availability: 77.2%, Performance: 94.7%, Quality: 92.3%, OEE: 67.5%. Downtime cause: tooling change. Operator Op-103 reported slight vibration on feeder belt."
RUN-852233,2023-04-13,Line-D,Widget-Alpha,Afternoon,Op-101,1885,1533,41,79.1,118,tooling change,"Afternoon shift run on Line-D. Widget-Alpha batch RUN-852233. Achieved 79.1% OEE against 1885 unit target. 1533 units produced, 41 scrapped. Key downtime event: tooling change (118 min). Shift supervisor signed off."
RUN-898989,2024-10-18,Line-B,Valve-X200,Night,Op-101,920,724,33,75.1,41,unplanned jam,Production run RUN-898989 on Line-B during Night shift. Product: Valve-X200. Target output: 920 units. Actual output: 724 units (OEE: 75.1%). Downtime: 41 minutes due to unplanned jam. Quality rejects: 33 units. Operator: Op-101. Run completed without safety incidents.
RUN-361728,2024-12-31,Line-B,Pump-G10,Night,Op-102,206,157,10,71.0,10,changeover,"Run RUN-361728: Line-B, Pump-G10, Night shift. Performance summary — Availability: 84.6%, Performance: 90.1%, Quality: 93.1%, OEE: 71.0%. Downtime cause: changeover. Operator Op-102 reported slight vibration on feeder belt."
RUN-820861,2023-12-02,Line-B,Gear-M5,Night,Op-104,1823,1525,21,82.5,17,planned break,"Run RUN-820861: Line-B, Gear-M5, Night shift. Performance summary — Availability: 97.5%, Performance: 85.8%, Quality: 98.6%, OEE: 82.5%. Downtime cause: planned break. Operator Op-104 reported slight vibration on feeder belt."
RUN-121741,2024-07-25,Line-C,Widget-Beta,Day,Op-104,952,725,4,75.8,113,material shortage,Production run RUN-121741 on Line-C during Day shift. Product: Widget-Beta. Target output: 952 units. Actual output: 725 units (OEE: 75.8%). Downtime: 113 minutes due to material shortage. Quality rejects: 4 units. Operator: Op-104. Run completed without safety incidents.
RUN-256501,2024-01-12,Line-B,Widget-Alpha,Afternoon,Op-102,736,534,32,68.3,54,material shortage,Production run RUN-256501 on Line-B during Afternoon shift. Product: Widget-Alpha. Target output: 736 units. Actual output: 534 units (OEE: 68.3%). Downtime: 54 minutes due to material shortage. Quality rejects: 32 units. Operator: Op-102. Run completed without safety incidents.
RUN-224269,2024-12-31,Line-B,Gear-M5,Day,Op-101,1671,1370,10,81.3,105,quality hold,Production run RUN-224269 on Line-B during Day shift. Product: Gear-M5. Target output: 1671 units. Actual output: 1370 units (OEE: 81.3%). Downtime: 105 minutes due to quality hold. Quality rejects: 10 units. Operator: Op-101. Run completed without safety incidents.
RUN-862008,2023-07-13,Line-B,Widget-Beta,Afternoon,Op-103,1728,1172,17,66.9,76,minor stoppages,"Run RUN-862008: Line-B, Widget-Beta, Afternoon shift. Performance summary — Availability: 86.9%, Performance: 78.1%, Quality: 98.5%, OEE: 66.9%. Downtime cause: minor stoppages. Operator Op-103 reported one label printer jam at 14:30."
RUN-711218,2024-10-24,Line-D,Widget-Beta,Afternoon,Op-102,258,171,6,64.1,116,minor stoppages,"Run RUN-711218: Line-D, Widget-Beta, Afternoon shift. Performance summary — Availability: 82.0%, Performance: 81.3%, Quality: 96.1%, OEE: 64.1%. Downtime cause: minor stoppages. Operator Op-102 reported one label printer jam at 14:30."
RUN-842866,2024-09-03,Line-D,Widget-Alpha,Day,Op-104,472,445,27,88.6,27,quality hold,"Day shift run on Line-D. Widget-Alpha batch RUN-842866. Achieved 88.6% OEE against 472 unit target. 445 units produced, 27 scrapped. Key downtime event: quality hold (27 min). Shift supervisor signed off."
RUN-105621,2024-05-31,Line-C,Widget-Alpha,Day,Op-105,320,237,12,70.3,45,material shortage,"Day shift run on Line-C. Widget-Alpha batch RUN-105621. Achieved 70.3% OEE against 320 unit target. 237 units produced, 12 scrapped. Key downtime event: material shortage (45 min). Shift supervisor signed off."
RUN-455652,2023-05-16,Line-D,Valve-X200,Afternoon,Op-103,470,408,17,83.1,33,minor stoppages,"Afternoon shift run on Line-D. Valve-X200 batch RUN-455652. Achieved 83.1% OEE against 470 unit target. 408 units produced, 17 scrapped. Key downtime event: minor stoppages (33 min). Shift supervisor signed off."
RUN-884149,2024-03-16,Line-A,Valve-X200,Night,Op-105,1086,662,63,55.1,16,unplanned jam,"Night shift run on Line-A. Valve-X200 batch RUN-884149. Achieved 55.1% OEE against 1086 unit target. 662 units produced, 63 scrapped. Key downtime event: unplanned jam (16 min). Shift supervisor signed off."
RUN-682667,2024-10-13,Line-C,Valve-X200,Night,Op-103,1258,1000,69,74.0,62,tooling change,"Run RUN-682667: Line-C, Valve-X200, Night shift. Performance summary — Availability: 82.5%, Performance: 96.4%, Quality: 93.1%, OEE: 74.0%. Downtime cause: tooling change. Operator Op-103 reported slight vibration on feeder belt."
RUN-221660,2023-02-11,Line-D,Widget-Alpha,Day,Op-102,311,190,14,56.6,90,unplanned jam,"Day shift run on Line-D. Widget-Alpha batch RUN-221660. Achieved 56.6% OEE against 311 unit target. 190 units produced, 14 scrapped. Key downtime event: unplanned jam (90 min). Shift supervisor signed off."
RUN-198123,2023-10-18,Line-D,Valve-X200,Night,Op-105,1193,797,23,64.9,18,changeover,Production run RUN-198123 on Line-D during Night shift. Product: Valve-X200. Target output: 1193 units. Actual output: 797 units (OEE: 64.9%). Downtime: 18 minutes due to changeover. Quality rejects: 23 units. Operator: Op-105. Run completed without safety incidents.
RUN-536646,2023-09-10,Line-B,Widget-Beta,Night,Op-105,1884,1480,62,75.3,74,changeover,Production run RUN-536646 on Line-B during Night shift. Product: Widget-Beta. Target output: 1884 units. Actual output: 1480 units (OEE: 75.3%). Downtime: 74 minutes due to changeover. Quality rejects: 62 units. Operator: Op-105. Run completed without safety incidents.
RUN-261245,2023-03-25,Line-D,Widget-Alpha,Afternoon,Op-101,782,652,39,78.4,75,changeover,Production run RUN-261245 on Line-D during Afternoon shift. Product: Widget-Alpha. Target output: 782 units. Actual output: 652 units (OEE: 78.4%). Downtime: 75 minutes due to changeover. Quality rejects: 39 units. Operator: Op-101. Run completed without safety incidents.
RUN-867080,2024-08-05,Line-D,Pump-G10,Afternoon,Op-103,1416,1065,102,68.0,79,unplanned jam,"Run RUN-867080: Line-D, Pump-G10, Afternoon shift. Performance summary — Availability: 90.8%, Performance: 82.9%, Quality: 90.4%, OEE: 68.0%. Downtime cause: unplanned jam. Operator Op-103 reported one label printer jam at 14:30."
RUN-518233,2023-07-02,Line-B,Widget-Beta,Day,Op-103,861,753,34,83.5,77,unplanned jam,"Day shift run on Line-B. Widget-Beta batch RUN-518233. Achieved 83.5% OEE against 861 unit target. 753 units produced, 34 scrapped. Key downtime event: unplanned jam (77 min). Shift supervisor signed off."
RUN-226460,2024-05-17,Line-B,Pump-G10,Day,Op-101,1945,1311,78,63.4,82,tooling change,"Day shift run on Line-B. Pump-G10 batch RUN-226460. Achieved 63.4% OEE against 1945 unit target. 1311 units produced, 78 scrapped. Key downtime event: tooling change (82 min). Shift supervisor signed off."
RUN-506941,2023-10-02,Line-D,Valve-X200,Night,Op-105,468,302,19,60.5,25,unplanned jam,"Night shift run on Line-D. Valve-X200 batch RUN-506941. Achieved 60.5% OEE against 468 unit target. 302 units produced, 19 scrapped. Key downtime event: unplanned jam (25 min). Shift supervisor signed off."
RUN-809298,2024-10-25,Line-D,Widget-Alpha,Afternoon,Op-103,1457,1043,94,65.1,65,planned break,Production run RUN-809298 on Line-D during Afternoon shift. Product: Widget-Alpha. Target output: 1457 units. Actual output: 1043 units (OEE: 65.1%). Downtime: 65 minutes due to planned break. Quality rejects: 94 units. Operator: Op-103. Run completed without safety incidents.
RUN-233997,2023-11-04,Line-B,Pump-G10,Night,Op-105,371,260,2,69.4,61,planned break,"Run RUN-233997: Line-B, Pump-G10, Night shift. Performance summary — Availability: 82.0%, Performance: 85.5%, Quality: 99.0%, OEE: 69.4%. Downtime cause: planned break. Operator Op-105 reported slight vibration on feeder belt."
RUN-533082,2024-04-20,Line-B,Gear-M5,Afternoon,Op-103,1364,797,76,52.8,13,material shortage,Production run RUN-533082 on Line-B during Afternoon shift. Product: Gear-M5. Target output: 1364 units. Actual output: 797 units (OEE: 52.8%). Downtime: 13 minutes due to material shortage. Quality rejects: 76 units. Operator: Op-103. Run completed without safety incidents.
RUN-983855,2023-02-16,Line-C,Valve-X200,Afternoon,Op-105,367,258,6,68.5,59,minor stoppages,"Afternoon shift run on Line-C. Valve-X200 batch RUN-983855. Achieved 68.5% OEE against 367 unit target. 258 units produced, 6 scrapped. Key downtime event: minor stoppages (59 min). Shift supervisor signed off."
RUN-457915,2023-08-05,Line-A,Pump-G10,Night,Op-103,842,644,21,73.9,79,tooling change,Production run RUN-457915 on Line-A during Night shift. Product: Pump-G10. Target output: 842 units. Actual output: 644 units (OEE: 73.9%). Downtime: 79 minutes due to tooling change. Quality rejects: 21 units. Operator: Op-103. Run completed without safety incidents.
RUN-113950,2024-11-02,Line-B,Widget-Alpha,Night,Op-105,731,543,25,70.9,0,unplanned jam,Production run RUN-113950 on Line-B during Night shift. Product: Widget-Alpha. Target output: 731 units. Actual output: 543 units (OEE: 70.9%). Downtime: 0 minutes due to unplanned jam. Quality rejects: 25 units. Operator: Op-105. Run completed without safety incidents.
RUN-824211,2024-12-07,Line-D,Pump-G10,Night,Op-104,1979,1669,46,82.0,38,material shortage,"Run RUN-824211: Line-D, Pump-G10, Night shift. Performance summary — Availability: 90.8%, Performance: 92.9%, Quality: 97.2%, OEE: 82.0%. Downtime cause: material shortage. Operator Op-104 reported one label printer jam at 14:30."
RUN-319393,2024-10-26,Line-D,Valve-X200,Day,Op-102,476,278,27,52.8,24,tooling change,"Day shift run on Line-D. Valve-X200 batch RUN-319393. Achieved 52.8% OEE against 476 unit target. 278 units produced, 27 scrapped. Key downtime event: tooling change (24 min). Shift supervisor signed off."
RUN-274174,2024-12-20,Line-B,Widget-Beta,Afternoon,Op-105,590,425,36,66.0,54,changeover,Production run RUN-274174 on Line-B during Afternoon shift. Product: Widget-Beta. Target output: 590 units. Actual output: 425 units (OEE: 66.0%). Downtime: 54 minutes due to changeover. Quality rejects: 36 units. Operator: Op-105. Run completed without safety incidents.
RUN-153395,2023-01-09,Line-D,Pump-G10,Afternoon,Op-101,1960,1358,96,64.4,106,tooling change,"Afternoon shift run on Line-D. Pump-G10 batch RUN-153395. Achieved 64.4% OEE against 1960 unit target. 1358 units produced, 96 scrapped. Key downtime event: tooling change (106 min). Shift supervisor signed off."
RUN-609713,2024-08-28,Line-A,Pump-G10,Afternoon,Op-104,1709,1405,1,82.2,4,unplanned jam,"Run RUN-609713: Line-A, Pump-G10, Afternoon shift. Performance summary — Availability: 88.9%, Performance: 92.5%, Quality: 99.9%, OEE: 82.2%. Downtime cause: unplanned jam. Operator Op-104 reported temp spike in oven unit at 22:00."
RUN-596330,2024-05-21,Line-D,Widget-Beta,Night,Op-101,1281,858,38,64.0,34,quality hold,Production run RUN-596330 on Line-D during Night shift. Product: Widget-Beta. Target output: 1281 units. Actual output: 858 units (OEE: 64.0%). Downtime: 34 minutes due to quality hold. Quality rejects: 38 units. Operator: Op-101. Run completed without safety incidents.
RUN-716204,2023-12-14,Line-C,Pump-G10,Night,Op-104,242,176,9,69.0,56,minor stoppages,"Run RUN-716204: Line-C, Pump-G10, Night shift. Performance summary — Availability: 78.9%, Performance: 92.4%, Quality: 94.6%, OEE: 69.0%. Downtime cause: minor stoppages. Operator Op-104 reported slight vibration on feeder belt."
RUN-752048,2023-10-17,Line-D,Widget-Beta,Afternoon,Op-104,1053,912,24,84.3,101,unplanned jam,Production run RUN-752048 on Line-D during Afternoon shift. Product: Widget-Beta. Target output: 1053 units. Actual output: 912 units (OEE: 84.3%). Downtime: 101 minutes due to unplanned jam. Quality rejects: 24 units. Operator: Op-104. Run completed without safety incidents.
RUN-346120,2024-07-24,Line-A,Pump-G10,Day,Op-102,608,415,8,67.0,120,unplanned jam,Production run RUN-346120 on Line-A during Day shift. Product: Pump-G10. Target output: 608 units. Actual output: 415 units (OEE: 67.0%). Downtime: 120 minutes due to unplanned jam. Quality rejects: 8 units. Operator: Op-102. Run completed without safety incidents.
RUN-454140,2023-04-27,Line-A,Widget-Alpha,Afternoon,Op-103,931,672,10,71.1,64,changeover,"Afternoon shift run on Line-A. Widget-Alpha batch RUN-454140. Achieved 71.1% OEE against 931 unit target. 672 units produced, 10 scrapped. Key downtime event: changeover (64 min). Shift supervisor signed off."
RUN-258522,2024-06-11,Line-B,Widget-Alpha,Night,Op-102,1196,807,52,63.2,5,tooling change,"Run RUN-258522: Line-B, Widget-Alpha, Night shift. Performance summary — Availability: 81.2%, Performance: 83.2%, Quality: 93.5%, OEE: 63.2%. Downtime cause: tooling change. Operator Op-102 reported one label printer jam at 14:30."
RUN-963617,2023-02-12,Line-A,Widget-Alpha,Afternoon,Op-104,1923,1761,40,89.5,78,tooling change,"Run RUN-963617: Line-A, Widget-Alpha, Afternoon shift. Performance summary — Availability: 93.1%, Performance: 98.4%, Quality: 97.7%, OEE: 89.5%. Downtime cause: tooling change. Operator Op-104 reported no abnormal conditions."
RUN-868136,2023-06-07,Line-A,Widget-Beta,Night,Op-101,1983,1326,37,65.0,90,unplanned jam,Production run RUN-868136 on Line-A during Night shift. Product: Widget-Beta. Target output: 1983 units. Actual output: 1326 units (OEE: 65.0%). Downtime: 90 minutes due to unplanned jam. Quality rejects: 37 units. Operator: Op-101. Run completed without safety incidents.
RUN-457900,2024-06-01,Line-C,Valve-X200,Day,Op-101,1937,1519,36,76.6,0,minor stoppages,"Day shift run on Line-C. Valve-X200 batch RUN-457900. Achieved 76.6% OEE against 1937 unit target. 1519 units produced, 36 scrapped. Key downtime event: minor stoppages (0 min). Shift supervisor signed off."
RUN-925455,2023-05-22,Line-B,Widget-Alpha,Afternoon,Op-103,1664,1296,44,75.3,19,tooling change,Production run RUN-925455 on Line-B during Afternoon shift. Product: Widget-Alpha. Target output: 1664 units. Actual output: 1296 units (OEE: 75.3%). Downtime: 19 minutes due to tooling change. Quality rejects: 44 units. Operator: Op-103. Run completed without safety incidents.
RUN-852485,2023-03-13,Line-D,Pump-G10,Afternoon,Op-104,1945,1553,10,79.3,56,minor stoppages,"Run RUN-852485: Line-D, Pump-G10, Afternoon shift. Performance summary — Availability: 87.4%, Performance: 91.4%, Quality: 99.3%, OEE: 79.3%. Downtime cause: minor stoppages. Operator Op-104 reported no abnormal conditions."
RUN-702466,2024-10-08,Line-A,Valve-X200,Afternoon,Op-104,1781,1074,26,58.8,84,quality hold,Production run RUN-702466 on Line-A during Afternoon shift. Product: Valve-X200. Target output: 1781 units. Actual output: 1074 units (OEE: 58.8%). Downtime: 84 minutes due to quality hold. Quality rejects: 26 units. Operator: Op-104. Run completed without safety incidents.
RUN-653429,2023-05-31,Line-C,Pump-G10,Afternoon,Op-105,1989,1519,15,75.6,1,tooling change,"Run RUN-653429: Line-C, Pump-G10, Afternoon shift. Performance summary — Availability: 82.3%, Performance: 92.8%, Quality: 99.0%, OEE: 75.6%. Downtime cause: tooling change. Operator Op-105 reported one label printer jam at 14:30."
RUN-913066,2023-11-05,Line-D,Pump-G10,Night,Op-102,1314,1061,59,76.3,44,tooling change,Production run RUN-913066 on Line-D during Night shift. Product: Pump-G10. Target output: 1314 units. Actual output: 1061 units (OEE: 76.3%). Downtime: 44 minutes due to tooling change. Quality rejects: 59 units. Operator: Op-102. Run completed without safety incidents.
RUN-197328,2024-07-19,Line-A,Widget-Alpha,Night,Op-103,998,855,75,78.2,69,planned break,"Run RUN-197328: Line-A, Widget-Alpha, Night shift. Performance summary — Availability: 92.4%, Performance: 92.8%, Quality: 91.2%, OEE: 78.2%. Downtime cause: planned break. Operator Op-103 reported slight vibration on feeder belt."
RUN-861800,2024-06-01,Line-C,Gear-M5,Afternoon,Op-102,247,175,7,68.3,30,tooling change,"Afternoon shift run on Line-C. Gear-M5 batch RUN-861800. Achieved 68.3% OEE against 247 unit target. 175 units produced, 7 scrapped. Key downtime event: tooling change (30 min). Shift supervisor signed off."
RUN-412434,2023-01-06,Line-A,Widget-Alpha,Afternoon,Op-103,1484,1009,25,66.3,120,changeover,"Run RUN-412434: Line-A, Widget-Alpha, Afternoon shift. Performance summary — Availability: 87.2%, Performance: 78.0%, Quality: 97.5%, OEE: 66.3%. Downtime cause: changeover. Operator Op-103 reported temp spike in oven unit at 22:00."
RUN-467355,2023-10-19,Line-D,Valve-X200,Day,Op-105,1358,1220,41,86.8,108,material shortage,"Day shift run on Line-D. Valve-X200 batch RUN-467355. Achieved 86.8% OEE against 1358 unit target. 1220 units produced, 41 scrapped. Key downtime event: material shortage (108 min). Shift supervisor signed off."
