inspection_id,date,product,batch_id,inspector,total_units,defective_units,defect_rate_pct,defect_type,disposition,cp,cpk,description,corrective_action
QI-334081,2024-11-12,Valve-X200,BATCH-73858,QA-02 (Sara Novak),130,11,8.46,Material void,Rework,1.75,1.51,Final inspection of Valve-X200 (batch BATCH-73858). Overall yield: 91.5%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-02 (Sara Novak).,Replaced worn cutting insert
QI-948095,2024-09-18,Gear-M5,BATCH-85082,QA-01 (John Lee),425,18,4.24,Assembly gap,Scrap,0.93,0.71,Final inspection of Gear-M5 (batch BATCH-85082). Overall yield: 95.8%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-568325,2023-01-12,Widget-Beta,BATCH-55457,QA-03 (Mike Torres),304,4,1.32,Coating defect,Accept,1.13,1.11,Final inspection of Widget-Beta (batch BATCH-55457). Overall yield: 98.7%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Adjusted feed rate on CNC-3
QI-617033,2024-01-23,Valve-X200,BATCH-16310,QA-01 (John Lee),229,8,3.49,Dimensional deviation,Accept,1.59,1.37,"Batch BATCH-16310 of Valve-X200 inspected by QA-01 (John Lee). Dimensional deviation found in 8 of 229 units (3.5%). Disposition: Accept. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.59, Cpk: 1.37. Control chart shows bimodal distribution — two machines suspected.",Updated inspection sampling plan
QI-121053,2023-11-23,Valve-X200,BATCH-39567,QA-03 (Mike Torres),474,30,6.33,Assembly gap,Accept,1.59,1.42,"Batch BATCH-39567 of Valve-X200 inspected by QA-03 (Mike Torres). Assembly gap found in 30 of 474 units (6.3%). Disposition: Accept. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.59, Cpk: 1.42. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-736818,2024-03-20,Valve-X200,BATCH-22203,QA-01 (John Lee),137,6,4.38,Surface scratch,Scrap,0.96,0.94,In-process inspection at Station 8 flagged Valve-X200 batch BATCH-22203. 6/137 units exhibited Surface scratch. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-54295.,Adjusted feed rate on CNC-3
QI-152046,2024-02-07,Widget-Beta,BATCH-80795,QA-01 (John Lee),155,6,3.87,Surface scratch,Scrap,1.21,1.04,"Batch BATCH-80795 of Widget-Beta inspected by QA-01 (John Lee). Surface scratch found in 6 of 155 units (3.9%). Disposition: Scrap. Corrective action initiated: Retrained operator on torque spec. Process Cp: 1.21, Cpk: 1.04. Control chart shows upward drift suggesting tool wear.",Retrained operator on torque spec
QI-317005,2023-06-24,Gear-M5,BATCH-96772,QA-03 (Mike Torres),77,5,6.49,Assembly gap,Rework,0.8,0.77,"Batch BATCH-96772 of Gear-M5 inspected by QA-03 (Mike Torres). Assembly gap found in 5 of 77 units (6.5%). Disposition: Rework. Corrective action initiated: Replaced worn cutting insert. Process Cp: 0.80, Cpk: 0.77. Control chart shows upward drift suggesting tool wear.",Replaced worn cutting insert
QI-487345,2023-07-11,Valve-X200,BATCH-44734,QA-01 (John Lee),207,12,5.8,Assembly gap,Accept,1.27,1.0,In-process inspection at Station 7 flagged Valve-X200 batch BATCH-44734. 12/207 units exhibited Assembly gap. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-21945.,Replaced worn cutting insert
QI-947438,2024-07-08,Pump-G10,BATCH-18079,QA-01 (John Lee),288,8,2.78,Material void,Hold for review,1.03,0.95,Final inspection of Pump-G10 (batch BATCH-18079). Overall yield: 97.2%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Adjusted feed rate on CNC-3
QI-513982,2023-02-05,Pump-G10,BATCH-80190,QA-03 (Mike Torres),480,24,5.0,Dimensional deviation,Accept,1.62,1.49,In-process inspection at Station 4 flagged Pump-G10 batch BATCH-80190. 24/480 units exhibited Dimensional deviation. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-72236.,Updated inspection sampling plan
QI-816308,2024-03-21,Gear-M5,BATCH-37772,QA-03 (Mike Torres),111,7,6.31,Coating defect,Rework,0.97,0.67,In-process inspection at Station 3 flagged Gear-M5 batch BATCH-37772. 7/111 units exhibited Coating defect. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-35260.,Adjusted feed rate on CNC-3
QI-924758,2024-12-18,Widget-Beta,BATCH-82358,QA-03 (Mike Torres),213,2,0.94,Dimensional deviation,Scrap,0.89,0.72,In-process inspection at Station 5 flagged Widget-Beta batch BATCH-82358. 2/213 units exhibited Dimensional deviation. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-52746.,Calibrated CMM probe
QI-661652,2023-12-19,Gear-M5,BATCH-86372,QA-03 (Mike Torres),107,6,5.61,Coating defect,Hold for review,0.95,0.78,"Batch BATCH-86372 of Gear-M5 inspected by QA-03 (Mike Torres). Coating defect found in 6 of 107 units (5.6%). Disposition: Hold for review. Corrective action initiated: Calibrated CMM probe. Process Cp: 0.95, Cpk: 0.78. Control chart shows one-point-out-of-control signal at subgroup 12.",Calibrated CMM probe
QI-824056,2023-09-01,Pump-G10,BATCH-28855,QA-02 (Sara Novak),342,30,8.77,Assembly gap,Hold for review,0.84,0.76,In-process inspection at Station 7 flagged Pump-G10 batch BATCH-28855. 30/342 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-91034.,Adjusted feed rate on CNC-3
QI-415076,2024-03-29,Widget-Alpha,BATCH-50756,QA-03 (Mike Torres),240,0,0.0,Assembly gap,Scrap,1.14,0.9,"Batch BATCH-50756 of Widget-Alpha inspected by QA-03 (Mike Torres). Assembly gap found in 0 of 240 units (0.0%). Disposition: Scrap. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.14, Cpk: 0.90. Control chart shows stable within control limits.",Adjusted feed rate on CNC-3
QI-168804,2023-11-15,Valve-X200,BATCH-63368,QA-02 (Sara Novak),359,5,1.39,Weight out of spec,Hold for review,0.99,0.93,Final inspection of Valve-X200 (batch BATCH-63368). Overall yield: 98.6%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Adjusted feed rate on CNC-3
QI-838862,2023-07-23,Gear-M5,BATCH-17553,QA-02 (Sara Novak),138,3,2.17,Dimensional deviation,Accept,1.68,1.62,"Batch BATCH-17553 of Gear-M5 inspected by QA-02 (Sara Novak). Dimensional deviation found in 3 of 138 units (2.2%). Disposition: Accept. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.68, Cpk: 1.62. Control chart shows one-point-out-of-control signal at subgroup 12.",Updated inspection sampling plan
QI-460971,2023-06-17,Valve-X200,BATCH-74066,QA-02 (Sara Novak),375,7,1.87,Assembly gap,Hold for review,1.48,1.41,In-process inspection at Station 8 flagged Valve-X200 batch BATCH-74066. 7/375 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-87862.,Replaced worn cutting insert
QI-382154,2024-10-29,Valve-X200,BATCH-85007,QA-03 (Mike Torres),195,0,0.0,Weight out of spec,Accept,1.19,1.14,Final inspection of Valve-X200 (batch BATCH-85007). Overall yield: 100.0%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-544393,2024-01-21,Pump-G10,BATCH-11109,QA-03 (Mike Torres),292,29,9.93,Surface scratch,Accept,0.93,0.88,In-process inspection at Station 5 flagged Pump-G10 batch BATCH-11109. 29/292 units exhibited Surface scratch. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-39329.,Calibrated CMM probe
QI-688730,2024-10-24,Valve-X200,BATCH-62055,QA-02 (Sara Novak),288,9,3.12,Material void,Rework,1.48,1.23,Final inspection of Valve-X200 (batch BATCH-62055). Overall yield: 96.9%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-02 (Sara Novak).,Adjusted feed rate on CNC-3
QI-297509,2023-06-03,Gear-M5,BATCH-46239,QA-03 (Mike Torres),400,6,1.5,Material void,Scrap,1.28,1.18,In-process inspection at Station 6 flagged Gear-M5 batch BATCH-46239. 6/400 units exhibited Material void. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-93964.,Retrained operator on torque spec
QI-507135,2023-02-06,Gear-M5,BATCH-95904,QA-01 (John Lee),388,20,5.15,Surface scratch,Hold for review,1.48,1.26,In-process inspection at Station 5 flagged Gear-M5 batch BATCH-95904. 20/388 units exhibited Surface scratch. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-75191.,Retrained operator on torque spec
QI-981473,2024-11-04,Gear-M5,BATCH-72355,QA-03 (Mike Torres),225,22,9.78,Coating defect,Rework,1.02,0.86,In-process inspection at Station 6 flagged Gear-M5 batch BATCH-72355. 22/225 units exhibited Coating defect. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-98063.,Calibrated CMM probe
QI-334176,2023-11-11,Gear-M5,BATCH-83273,QA-01 (John Lee),291,4,1.37,Material void,Accept,1.54,1.32,"Batch BATCH-83273 of Gear-M5 inspected by QA-01 (John Lee). Material void found in 4 of 291 units (1.4%). Disposition: Accept. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.54, Cpk: 1.32. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-813763,2024-01-26,Pump-G10,BATCH-17035,QA-02 (Sara Novak),349,18,5.16,Material void,Scrap,1.26,1.22,"Batch BATCH-17035 of Pump-G10 inspected by QA-02 (Sara Novak). Material void found in 18 of 349 units (5.2%). Disposition: Scrap. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.26, Cpk: 1.22. Control chart shows upward drift suggesting tool wear.",Updated inspection sampling plan
QI-916779,2023-03-24,Gear-M5,BATCH-63633,QA-02 (Sara Novak),495,9,1.82,Assembly gap,Accept,0.94,0.88,In-process inspection at Station 8 flagged Gear-M5 batch BATCH-63633. 9/495 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-84632.,Replaced worn cutting insert
QI-744328,2024-03-20,Pump-G10,BATCH-37444,QA-02 (Sara Novak),210,20,9.52,Weight out of spec,Rework,0.86,0.72,"Batch BATCH-37444 of Pump-G10 inspected by QA-02 (Sara Novak). Weight out of spec found in 20 of 210 units (9.5%). Disposition: Rework. Corrective action initiated: Updated inspection sampling plan. Process Cp: 0.86, Cpk: 0.72. Control chart shows stable within control limits.",Updated inspection sampling plan
QI-809621,2023-01-05,Pump-G10,BATCH-58903,QA-02 (Sara Novak),246,0,0.0,Assembly gap,Hold for review,0.84,0.78,"Batch BATCH-58903 of Pump-G10 inspected by QA-02 (Sara Novak). Assembly gap found in 0 of 246 units (0.0%). Disposition: Hold for review. Corrective action initiated: Calibrated CMM probe. Process Cp: 0.84, Cpk: 0.78. Control chart shows upward drift suggesting tool wear.",Calibrated CMM probe
QI-578073,2024-06-16,Widget-Beta,BATCH-50123,QA-01 (John Lee),209,4,1.91,Weight out of spec,Scrap,0.9,0.75,In-process inspection at Station 2 flagged Widget-Beta batch BATCH-50123. 4/209 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-31891.,Adjusted feed rate on CNC-3
QI-335217,2023-05-15,Gear-M5,BATCH-57087,QA-03 (Mike Torres),401,8,2.0,Material void,Hold for review,1.14,0.87,"Batch BATCH-57087 of Gear-M5 inspected by QA-03 (Mike Torres). Material void found in 8 of 401 units (2.0%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.14, Cpk: 0.87. Control chart shows stable within control limits.",Updated inspection sampling plan
QI-722774,2023-02-19,Widget-Beta,BATCH-59177,QA-03 (Mike Torres),113,5,4.42,Surface scratch,Rework,1.51,1.27,Final inspection of Widget-Beta (batch BATCH-59177). Overall yield: 95.6%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-03 (Mike Torres).,Calibrated CMM probe
QI-415743,2024-03-06,Widget-Alpha,BATCH-81733,QA-03 (Mike Torres),403,7,1.74,Surface scratch,Accept,1.22,1.11,"Batch BATCH-81733 of Widget-Alpha inspected by QA-03 (Mike Torres). Surface scratch found in 7 of 403 units (1.7%). Disposition: Accept. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.22, Cpk: 1.11. Control chart shows upward drift suggesting tool wear.",Replaced worn cutting insert
QI-621917,2023-07-23,Widget-Alpha,BATCH-77054,QA-03 (Mike Torres),368,8,2.17,Coating defect,Scrap,1.22,0.95,"Batch BATCH-77054 of Widget-Alpha inspected by QA-03 (Mike Torres). Coating defect found in 8 of 368 units (2.2%). Disposition: Scrap. Corrective action initiated: Retrained operator on torque spec. Process Cp: 1.22, Cpk: 0.95. Control chart shows upward drift suggesting tool wear.",Retrained operator on torque spec
QI-102871,2023-01-14,Gear-M5,BATCH-81845,QA-01 (John Lee),233,22,9.44,Material void,Rework,1.21,1.16,In-process inspection at Station 4 flagged Gear-M5 batch BATCH-81845. 22/233 units exhibited Material void. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-75058.,Updated inspection sampling plan
QI-586830,2023-02-21,Widget-Alpha,BATCH-23276,QA-01 (John Lee),126,1,0.79,Coating defect,Hold for review,1.58,1.56,In-process inspection at Station 4 flagged Widget-Alpha batch BATCH-23276. 1/126 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-43540.,Updated inspection sampling plan
QI-444625,2024-01-02,Widget-Alpha,BATCH-22451,QA-01 (John Lee),234,21,8.97,Surface scratch,Scrap,1.11,0.89,Final inspection of Widget-Alpha (batch BATCH-22451). Overall yield: 91.0%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-218548,2023-05-16,Pump-G10,BATCH-69839,QA-03 (Mike Torres),240,10,4.17,Material void,Accept,0.98,0.86,In-process inspection at Station 7 flagged Pump-G10 batch BATCH-69839. 10/240 units exhibited Material void. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-45629.,Updated inspection sampling plan
QI-817712,2023-05-14,Widget-Alpha,BATCH-33758,QA-01 (John Lee),352,30,8.52,Surface scratch,Hold for review,1.6,1.4,Final inspection of Widget-Alpha (batch BATCH-33758). Overall yield: 91.5%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Retrained operator on torque spec
QI-553873,2024-11-08,Pump-G10,BATCH-11620,QA-02 (Sara Novak),275,1,0.36,Surface scratch,Hold for review,0.86,0.66,Final inspection of Pump-G10 (batch BATCH-11620). Overall yield: 99.6%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Retrained operator on torque spec
QI-273438,2023-03-18,Widget-Beta,BATCH-11526,QA-02 (Sara Novak),126,8,6.35,Material void,Hold for review,1.69,1.51,In-process inspection at Station 3 flagged Widget-Beta batch BATCH-11526. 8/126 units exhibited Material void. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-94331.,Calibrated CMM probe
QI-940183,2024-08-09,Pump-G10,BATCH-59628,QA-02 (Sara Novak),192,1,0.52,Dimensional deviation,Scrap,1.31,1.14,In-process inspection at Station 4 flagged Pump-G10 batch BATCH-59628. 1/192 units exhibited Dimensional deviation. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-62858.,Adjusted feed rate on CNC-3
QI-966028,2023-04-04,Pump-G10,BATCH-12329,QA-01 (John Lee),211,3,1.42,Assembly gap,Hold for review,1.78,1.56,"Batch BATCH-12329 of Pump-G10 inspected by QA-01 (John Lee). Assembly gap found in 3 of 211 units (1.4%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.78, Cpk: 1.56. Control chart shows upward drift suggesting tool wear.",Updated inspection sampling plan
QI-687360,2024-09-26,Gear-M5,BATCH-54676,QA-03 (Mike Torres),310,13,4.19,Weight out of spec,Scrap,1.45,1.31,In-process inspection at Station 1 flagged Gear-M5 batch BATCH-54676. 13/310 units exhibited Weight out of spec. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-57624.,Replaced worn cutting insert
QI-674295,2024-06-18,Gear-M5,BATCH-39064,QA-02 (Sara Novak),416,28,6.73,Weight out of spec,Scrap,0.91,0.68,Final inspection of Gear-M5 (batch BATCH-39064). Overall yield: 93.3%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-02 (Sara Novak).,Retrained operator on torque spec
QI-226611,2024-02-07,Valve-X200,BATCH-63636,QA-03 (Mike Torres),134,7,5.22,Surface scratch,Accept,0.94,0.72,"Batch BATCH-63636 of Valve-X200 inspected by QA-03 (Mike Torres). Surface scratch found in 7 of 134 units (5.2%). Disposition: Accept. Corrective action initiated: Calibrated CMM probe. Process Cp: 0.94, Cpk: 0.72. Control chart shows stable within control limits.",Calibrated CMM probe
QI-623059,2023-01-05,Widget-Beta,BATCH-98098,QA-02 (Sara Novak),105,6,5.71,Dimensional deviation,Scrap,0.85,0.66,In-process inspection at Station 2 flagged Widget-Beta batch BATCH-98098. 6/105 units exhibited Dimensional deviation. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-87176.,Updated inspection sampling plan
QI-789461,2024-09-06,Gear-M5,BATCH-33226,QA-03 (Mike Torres),479,37,7.72,Surface scratch,Hold for review,1.28,1.13,"Batch BATCH-33226 of Gear-M5 inspected by QA-03 (Mike Torres). Surface scratch found in 37 of 479 units (7.7%). Disposition: Hold for review. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.28, Cpk: 1.13. Control chart shows bimodal distribution — two machines suspected.",Replaced worn cutting insert
QI-244892,2024-02-27,Gear-M5,BATCH-45860,QA-02 (Sara Novak),264,19,7.2,Coating defect,Hold for review,1.72,1.49,In-process inspection at Station 6 flagged Gear-M5 batch BATCH-45860. 19/264 units exhibited Coating defect. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-62149.,Retrained operator on torque spec
QI-819964,2023-12-20,Gear-M5,BATCH-82559,QA-03 (Mike Torres),481,44,9.15,Weight out of spec,Scrap,1.35,1.26,"Batch BATCH-82559 of Gear-M5 inspected by QA-03 (Mike Torres). Weight out of spec found in 44 of 481 units (9.1%). Disposition: Scrap. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.35, Cpk: 1.26. Control chart shows one-point-out-of-control signal at subgroup 12.",Replaced worn cutting insert
QI-806995,2024-06-30,Widget-Beta,BATCH-25126,QA-03 (Mike Torres),307,17,5.54,Weight out of spec,Rework,1.49,1.39,Final inspection of Widget-Beta (batch BATCH-25126). Overall yield: 94.5%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-03 (Mike Torres).,Calibrated CMM probe
QI-253541,2023-03-05,Valve-X200,BATCH-36201,QA-02 (Sara Novak),62,3,4.84,Surface scratch,Accept,0.95,0.75,Final inspection of Valve-X200 (batch BATCH-36201). Overall yield: 95.2%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-02 (Sara Novak).,Retrained operator on torque spec
QI-826596,2024-11-11,Valve-X200,BATCH-83647,QA-01 (John Lee),233,14,6.01,Coating defect,Accept,0.9,0.64,Final inspection of Valve-X200 (batch BATCH-83647). Overall yield: 94.0%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-764575,2024-12-22,Widget-Alpha,BATCH-11699,QA-02 (Sara Novak),453,43,9.49,Assembly gap,Hold for review,1.11,0.94,In-process inspection at Station 4 flagged Widget-Alpha batch BATCH-11699. 43/453 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-42943.,Calibrated CMM probe
QI-495521,2023-02-11,Valve-X200,BATCH-99477,QA-03 (Mike Torres),447,12,2.68,Coating defect,Rework,1.09,1.04,Final inspection of Valve-X200 (batch BATCH-99477). Overall yield: 97.3%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-725874,2023-02-22,Pump-G10,BATCH-53327,QA-02 (Sara Novak),116,2,1.72,Coating defect,Scrap,1.38,1.3,"Batch BATCH-53327 of Pump-G10 inspected by QA-02 (Sara Novak). Coating defect found in 2 of 116 units (1.7%). Disposition: Scrap. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.38, Cpk: 1.30. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-924451,2024-06-01,Gear-M5,BATCH-51662,QA-03 (Mike Torres),454,36,7.93,Material void,Hold for review,1.35,1.33,Final inspection of Gear-M5 (batch BATCH-51662). Overall yield: 92.1%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-688602,2024-10-26,Widget-Beta,BATCH-53500,QA-02 (Sara Novak),97,5,5.15,Coating defect,Hold for review,1.02,0.96,"Batch BATCH-53500 of Widget-Beta inspected by QA-02 (Sara Novak). Coating defect found in 5 of 97 units (5.2%). Disposition: Hold for review. Corrective action initiated: Retrained operator on torque spec. Process Cp: 1.02, Cpk: 0.96. Control chart shows bimodal distribution — two machines suspected.",Retrained operator on torque spec
QI-504620,2023-09-20,Widget-Alpha,BATCH-91412,QA-01 (John Lee),278,7,2.52,Weight out of spec,Scrap,1.7,1.52,In-process inspection at Station 1 flagged Widget-Alpha batch BATCH-91412. 7/278 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-41958.,Retrained operator on torque spec
QI-200617,2023-06-21,Gear-M5,BATCH-73806,QA-03 (Mike Torres),314,23,7.32,Material void,Accept,1.31,1.16,In-process inspection at Station 5 flagged Gear-M5 batch BATCH-73806. 23/314 units exhibited Material void. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-15747.,Replaced worn cutting insert
QI-124906,2024-04-15,Gear-M5,BATCH-23621,QA-03 (Mike Torres),157,6,3.82,Surface scratch,Accept,1.66,1.53,Final inspection of Gear-M5 (batch BATCH-23621). Overall yield: 96.2%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Adjusted feed rate on CNC-3
QI-760830,2024-02-19,Valve-X200,BATCH-85361,QA-01 (John Lee),77,2,2.6,Surface scratch,Accept,1.59,1.42,In-process inspection at Station 5 flagged Valve-X200 batch BATCH-85361. 2/77 units exhibited Surface scratch. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-39837.,Updated inspection sampling plan
QI-403915,2024-12-03,Pump-G10,BATCH-91048,QA-02 (Sara Novak),394,7,1.78,Surface scratch,Hold for review,1.33,1.14,In-process inspection at Station 1 flagged Pump-G10 batch BATCH-91048. 7/394 units exhibited Surface scratch. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-18288.,Adjusted feed rate on CNC-3
QI-883028,2024-02-05,Valve-X200,BATCH-14039,QA-03 (Mike Torres),441,28,6.35,Surface scratch,Scrap,1.18,0.93,"Batch BATCH-14039 of Valve-X200 inspected by QA-03 (Mike Torres). Surface scratch found in 28 of 441 units (6.3%). Disposition: Scrap. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.18, Cpk: 0.93. Control chart shows stable within control limits.",Calibrated CMM probe
QI-700538,2024-09-02,Gear-M5,BATCH-82551,QA-02 (Sara Novak),202,20,9.9,Weight out of spec,Rework,1.17,0.89,"Batch BATCH-82551 of Gear-M5 inspected by QA-02 (Sara Novak). Weight out of spec found in 20 of 202 units (9.9%). Disposition: Rework. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.17, Cpk: 0.89. Control chart shows upward drift suggesting tool wear.",Adjusted feed rate on CNC-3
