inspection_id,date,product,batch_id,inspector,total_units,defective_units,defect_rate_pct,defect_type,disposition,cp,cpk,description,corrective_action
QI-292930,2023-08-15,Pump-G10,BATCH-55069,QA-03 (Mike Torres),206,6,2.91,Coating defect,Accept,1.55,1.28,"Batch BATCH-55069 of Pump-G10 inspected by QA-03 (Mike Torres). Coating defect found in 6 of 206 units (2.9%). Disposition: Accept. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.55, Cpk: 1.28. Control chart shows stable within control limits.",Calibrated CMM probe
QI-362865,2023-04-11,Gear-M5,BATCH-81939,QA-02 (Sara Novak),142,10,7.04,Dimensional deviation,Accept,1.6,1.34,Final inspection of Gear-M5 (batch BATCH-81939). Overall yield: 93.0%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-02 (Sara Novak).,Retrained operator on torque spec
QI-572536,2023-12-03,Widget-Beta,BATCH-23113,QA-03 (Mike Torres),219,11,5.02,Coating defect,Hold for review,0.93,0.73,In-process inspection at Station 2 flagged Widget-Beta batch BATCH-23113. 11/219 units exhibited Coating defect. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-47373.,Replaced worn cutting insert
QI-390119,2024-01-04,Gear-M5,BATCH-32103,QA-03 (Mike Torres),339,23,6.78,Material void,Rework,1.61,1.32,"Batch BATCH-32103 of Gear-M5 inspected by QA-03 (Mike Torres). Material void found in 23 of 339 units (6.8%). Disposition: Rework. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.61, Cpk: 1.32. Control chart shows bimodal distribution — two machines suspected.",Replaced worn cutting insert
QI-982683,2023-10-15,Widget-Beta,BATCH-50038,QA-03 (Mike Torres),499,30,6.01,Weight out of spec,Scrap,1.26,1.15,Final inspection of Widget-Beta (batch BATCH-50038). Overall yield: 94.0%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-906564,2024-08-27,Widget-Beta,BATCH-12441,QA-03 (Mike Torres),425,40,9.41,Dimensional deviation,Scrap,0.88,0.86,Final inspection of Widget-Beta (batch BATCH-12441). Overall yield: 90.6%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-03 (Mike Torres).,Calibrated CMM probe
QI-516059,2024-01-08,Widget-Beta,BATCH-61445,QA-01 (John Lee),328,30,9.15,Coating defect,Scrap,1.45,1.41,In-process inspection at Station 5 flagged Widget-Beta batch BATCH-61445. 30/328 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-39269.,Replaced worn cutting insert
QI-871667,2024-05-10,Gear-M5,BATCH-28398,QA-01 (John Lee),484,39,8.06,Weight out of spec,Rework,1.48,1.25,Final inspection of Gear-M5 (batch BATCH-28398). Overall yield: 91.9%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-148693,2023-02-10,Valve-X200,BATCH-97632,QA-01 (John Lee),168,2,1.19,Dimensional deviation,Hold for review,1.06,0.99,In-process inspection at Station 6 flagged Valve-X200 batch BATCH-97632. 2/168 units exhibited Dimensional deviation. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-37102.,Updated inspection sampling plan
QI-641760,2023-09-15,Valve-X200,BATCH-32786,QA-01 (John Lee),477,47,9.85,Weight out of spec,Scrap,1.06,0.9,Final inspection of Valve-X200 (batch BATCH-32786). Overall yield: 90.1%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Retrained operator on torque spec
QI-180832,2024-06-10,Pump-G10,BATCH-89195,QA-01 (John Lee),230,11,4.78,Coating defect,Hold for review,1.29,1.15,"Batch BATCH-89195 of Pump-G10 inspected by QA-01 (John Lee). Coating defect found in 11 of 230 units (4.8%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.29, Cpk: 1.15. Control chart shows stable within control limits.",Updated inspection sampling plan
QI-604906,2024-11-22,Valve-X200,BATCH-96652,QA-01 (John Lee),130,5,3.85,Dimensional deviation,Rework,1.4,1.15,Final inspection of Valve-X200 (batch BATCH-96652). Overall yield: 96.2%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-01 (John Lee).,Retrained operator on torque spec
QI-700067,2023-05-31,Pump-G10,BATCH-85168,QA-02 (Sara Novak),381,26,6.82,Dimensional deviation,Rework,0.82,0.81,Final inspection of Pump-G10 (batch BATCH-85168). Overall yield: 93.2%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-02 (Sara Novak).,Replaced worn cutting insert
QI-735988,2024-04-27,Widget-Alpha,BATCH-12440,QA-01 (John Lee),314,25,7.96,Material void,Rework,1.4,1.23,"Batch BATCH-12440 of Widget-Alpha inspected by QA-01 (John Lee). Material void found in 25 of 314 units (8.0%). Disposition: Rework. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.40, Cpk: 1.23. Control chart shows bimodal distribution — two machines suspected.",Adjusted feed rate on CNC-3
QI-575497,2024-09-02,Pump-G10,BATCH-33839,QA-01 (John Lee),357,9,2.52,Dimensional deviation,Hold for review,1.59,1.34,Final inspection of Pump-G10 (batch BATCH-33839). Overall yield: 97.5%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-286040,2024-05-02,Gear-M5,BATCH-76107,QA-01 (John Lee),247,4,1.62,Dimensional deviation,Hold for review,0.91,0.85,Final inspection of Gear-M5 (batch BATCH-76107). Overall yield: 98.4%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-145548,2024-12-15,Gear-M5,BATCH-80685,QA-03 (Mike Torres),97,7,7.22,Surface scratch,Accept,1.46,1.19,In-process inspection at Station 7 flagged Gear-M5 batch BATCH-80685. 7/97 units exhibited Surface scratch. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-10157.,Calibrated CMM probe
QI-903061,2023-08-27,Gear-M5,BATCH-85513,QA-02 (Sara Novak),454,24,5.29,Dimensional deviation,Hold for review,1.15,0.91,In-process inspection at Station 7 flagged Gear-M5 batch BATCH-85513. 24/454 units exhibited Dimensional deviation. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-22807.,Replaced worn cutting insert
QI-786341,2023-07-30,Widget-Alpha,BATCH-10932,QA-02 (Sara Novak),181,6,3.31,Coating defect,Hold for review,0.81,0.59,"Batch BATCH-10932 of Widget-Alpha inspected by QA-02 (Sara Novak). Coating defect found in 6 of 181 units (3.3%). Disposition: Hold for review. Corrective action initiated: Calibrated CMM probe. Process Cp: 0.81, Cpk: 0.59. Control chart shows bimodal distribution — two machines suspected.",Calibrated CMM probe
QI-891645,2023-07-28,Valve-X200,BATCH-80268,QA-02 (Sara Novak),129,6,4.65,Material void,Accept,1.45,1.37,In-process inspection at Station 6 flagged Valve-X200 batch BATCH-80268. 6/129 units exhibited Material void. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-65517.,Calibrated CMM probe
QI-996531,2024-11-06,Pump-G10,BATCH-50193,QA-03 (Mike Torres),141,5,3.55,Coating defect,Hold for review,1.36,1.21,Final inspection of Pump-G10 (batch BATCH-50193). Overall yield: 96.5%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-03 (Mike Torres).,Updated inspection sampling plan
QI-268546,2024-02-03,Widget-Alpha,BATCH-76629,QA-03 (Mike Torres),450,44,9.78,Dimensional deviation,Hold for review,1.75,1.72,Final inspection of Widget-Alpha (batch BATCH-76629). Overall yield: 90.2%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-03 (Mike Torres).,Calibrated CMM probe
QI-846172,2024-09-03,Widget-Alpha,BATCH-58606,QA-01 (John Lee),357,27,7.56,Dimensional deviation,Hold for review,0.89,0.81,In-process inspection at Station 1 flagged Widget-Alpha batch BATCH-58606. 27/357 units exhibited Dimensional deviation. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-20490.,Updated inspection sampling plan
QI-745073,2023-06-23,Widget-Alpha,BATCH-77915,QA-01 (John Lee),274,0,0.0,Weight out of spec,Hold for review,1.0,0.8,Final inspection of Widget-Alpha (batch BATCH-77915). Overall yield: 100.0%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Adjusted feed rate on CNC-3
QI-642892,2023-01-16,Widget-Alpha,BATCH-56285,QA-02 (Sara Novak),130,1,0.77,Dimensional deviation,Accept,1.8,1.57,Final inspection of Widget-Alpha (batch BATCH-56285). Overall yield: 99.2%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-02 (Sara Novak).,Updated inspection sampling plan
QI-373791,2023-06-29,Widget-Alpha,BATCH-46242,QA-01 (John Lee),421,35,8.31,Coating defect,Scrap,1.72,1.62,In-process inspection at Station 4 flagged Widget-Alpha batch BATCH-46242. 35/421 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-39661.,Updated inspection sampling plan
QI-907369,2023-09-07,Pump-G10,BATCH-77277,QA-03 (Mike Torres),307,9,2.93,Surface scratch,Accept,1.14,1.1,In-process inspection at Station 5 flagged Pump-G10 batch BATCH-77277. 9/307 units exhibited Surface scratch. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-43776.,Updated inspection sampling plan
QI-470248,2024-06-12,Valve-X200,BATCH-60157,QA-02 (Sara Novak),350,1,0.29,Weight out of spec,Hold for review,1.28,1.2,In-process inspection at Station 4 flagged Valve-X200 batch BATCH-60157. 1/350 units exhibited Weight out of spec. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-93055.,Replaced worn cutting insert
QI-329183,2024-08-10,Gear-M5,BATCH-54825,QA-01 (John Lee),177,9,5.08,Weight out of spec,Scrap,0.89,0.69,In-process inspection at Station 3 flagged Gear-M5 batch BATCH-54825. 9/177 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-19965.,Updated inspection sampling plan
QI-263573,2023-04-20,Valve-X200,BATCH-44787,QA-01 (John Lee),305,23,7.54,Weight out of spec,Rework,1.0,0.78,"Batch BATCH-44787 of Valve-X200 inspected by QA-01 (John Lee). Weight out of spec found in 23 of 305 units (7.5%). Disposition: Rework. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.00, Cpk: 0.78. Control chart shows one-point-out-of-control signal at subgroup 12.",Replaced worn cutting insert
QI-702427,2023-10-09,Widget-Alpha,BATCH-15539,QA-01 (John Lee),364,0,0.0,Weight out of spec,Hold for review,1.56,1.4,In-process inspection at Station 6 flagged Widget-Alpha batch BATCH-15539. 0/364 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-73214.,Calibrated CMM probe
QI-512842,2024-12-03,Pump-G10,BATCH-78909,QA-01 (John Lee),253,7,2.77,Coating defect,Scrap,1.55,1.51,"Batch BATCH-78909 of Pump-G10 inspected by QA-01 (John Lee). Coating defect found in 7 of 253 units (2.8%). Disposition: Scrap. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.55, Cpk: 1.51. Control chart shows one-point-out-of-control signal at subgroup 12.",Calibrated CMM probe
QI-296243,2024-07-15,Widget-Beta,BATCH-86153,QA-02 (Sara Novak),211,0,0.0,Surface scratch,Hold for review,0.81,0.75,Final inspection of Widget-Beta (batch BATCH-86153). Overall yield: 100.0%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Retrained operator on torque spec
QI-572623,2023-07-04,Valve-X200,BATCH-37594,QA-01 (John Lee),363,21,5.79,Material void,Hold for review,1.17,1.02,In-process inspection at Station 6 flagged Valve-X200 batch BATCH-37594. 21/363 units exhibited Material void. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-64931.,Retrained operator on torque spec
QI-595962,2023-01-10,Gear-M5,BATCH-82789,QA-01 (John Lee),466,6,1.29,Coating defect,Rework,1.52,1.28,"Batch BATCH-82789 of Gear-M5 inspected by QA-01 (John Lee). Coating defect found in 6 of 466 units (1.3%). Disposition: Rework. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.52, Cpk: 1.28. Control chart shows stable within control limits.",Replaced worn cutting insert
QI-517754,2023-04-12,Widget-Beta,BATCH-73782,QA-02 (Sara Novak),484,40,8.26,Assembly gap,Rework,1.32,1.1,Final inspection of Widget-Beta (batch BATCH-73782). Overall yield: 91.7%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-02 (Sara Novak).,Calibrated CMM probe
QI-460857,2023-01-21,Widget-Beta,BATCH-53864,QA-01 (John Lee),293,26,8.87,Dimensional deviation,Scrap,1.43,1.3,Final inspection of Widget-Beta (batch BATCH-53864). Overall yield: 91.1%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Retrained operator on torque spec
QI-743473,2023-10-21,Pump-G10,BATCH-56544,QA-01 (John Lee),345,34,9.86,Material void,Rework,0.97,0.74,"Batch BATCH-56544 of Pump-G10 inspected by QA-01 (John Lee). Material void found in 34 of 345 units (9.9%). Disposition: Rework. Corrective action initiated: Updated inspection sampling plan. Process Cp: 0.97, Cpk: 0.74. Control chart shows bimodal distribution — two machines suspected.",Updated inspection sampling plan
QI-428709,2023-11-21,Pump-G10,BATCH-63054,QA-03 (Mike Torres),377,21,5.57,Dimensional deviation,Rework,1.22,1.04,In-process inspection at Station 2 flagged Pump-G10 batch BATCH-63054. 21/377 units exhibited Dimensional deviation. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-19351.,Replaced worn cutting insert
QI-995706,2023-01-24,Valve-X200,BATCH-86928,QA-03 (Mike Torres),188,14,7.45,Material void,Hold for review,1.58,1.3,"Batch BATCH-86928 of Valve-X200 inspected by QA-03 (Mike Torres). Material void found in 14 of 188 units (7.4%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.58, Cpk: 1.30. Control chart shows stable within control limits.",Updated inspection sampling plan
QI-908382,2024-02-11,Widget-Beta,BATCH-22524,QA-03 (Mike Torres),430,5,1.16,Dimensional deviation,Scrap,1.01,0.89,"Batch BATCH-22524 of Widget-Beta inspected by QA-03 (Mike Torres). Dimensional deviation found in 5 of 430 units (1.2%). Disposition: Scrap. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.01, Cpk: 0.89. Control chart shows upward drift suggesting tool wear.",Calibrated CMM probe
QI-564687,2024-10-03,Gear-M5,BATCH-61097,QA-01 (John Lee),366,9,2.46,Surface scratch,Scrap,0.88,0.6,Final inspection of Gear-M5 (batch BATCH-61097). Overall yield: 97.5%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-241678,2024-12-15,Widget-Beta,BATCH-52624,QA-01 (John Lee),64,0,0.0,Coating defect,Rework,1.46,1.2,In-process inspection at Station 8 flagged Widget-Beta batch BATCH-52624. 0/64 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-72410.,Calibrated CMM probe
QI-943797,2023-04-02,Gear-M5,BATCH-79964,QA-01 (John Lee),373,36,9.65,Coating defect,Hold for review,1.23,1.04,Final inspection of Gear-M5 (batch BATCH-79964). Overall yield: 90.3%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Updated inspection sampling plan
QI-821179,2024-05-18,Pump-G10,BATCH-27865,QA-02 (Sara Novak),183,4,2.19,Material void,Hold for review,1.1,1.1,Final inspection of Pump-G10 (batch BATCH-27865). Overall yield: 97.8%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Updated inspection sampling plan
QI-513927,2023-09-13,Pump-G10,BATCH-81855,QA-02 (Sara Novak),458,18,3.93,Surface scratch,Hold for review,1.4,1.16,Final inspection of Pump-G10 (batch BATCH-81855). Overall yield: 96.1%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Updated inspection sampling plan
QI-532961,2023-07-12,Widget-Beta,BATCH-91962,QA-03 (Mike Torres),474,24,5.06,Weight out of spec,Hold for review,1.02,1.0,Final inspection of Widget-Beta (batch BATCH-91962). Overall yield: 94.9%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-03 (Mike Torres).,Retrained operator on torque spec
QI-152042,2024-07-01,Widget-Alpha,BATCH-91625,QA-01 (John Lee),106,10,9.43,Dimensional deviation,Scrap,1.26,1.12,"Batch BATCH-91625 of Widget-Alpha inspected by QA-01 (John Lee). Dimensional deviation found in 10 of 106 units (9.4%). Disposition: Scrap. Corrective action initiated: Retrained operator on torque spec. Process Cp: 1.26, Cpk: 1.12. Control chart shows stable within control limits.",Retrained operator on torque spec
QI-458521,2024-03-06,Widget-Alpha,BATCH-40514,QA-01 (John Lee),187,4,2.14,Surface scratch,Scrap,1.52,1.3,In-process inspection at Station 3 flagged Widget-Alpha batch BATCH-40514. 4/187 units exhibited Surface scratch. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-21822.,Adjusted feed rate on CNC-3
QI-290425,2023-07-16,Valve-X200,BATCH-29148,QA-02 (Sara Novak),406,2,0.49,Material void,Hold for review,1.13,0.88,"Batch BATCH-29148 of Valve-X200 inspected by QA-02 (Sara Novak). Material void found in 2 of 406 units (0.5%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.13, Cpk: 0.88. Control chart shows bimodal distribution — two machines suspected.",Updated inspection sampling plan
QI-646453,2024-11-12,Valve-X200,BATCH-42396,QA-02 (Sara Novak),443,15,3.39,Surface scratch,Accept,1.18,0.89,Final inspection of Valve-X200 (batch BATCH-42396). Overall yield: 96.6%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-02 (Sara Novak).,Updated inspection sampling plan
QI-308376,2024-01-05,Widget-Beta,BATCH-82034,QA-02 (Sara Novak),215,5,2.33,Assembly gap,Scrap,1.43,1.42,In-process inspection at Station 2 flagged Widget-Beta batch BATCH-82034. 5/215 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-78278.,Retrained operator on torque spec
QI-144033,2024-08-18,Widget-Alpha,BATCH-46188,QA-03 (Mike Torres),170,13,7.65,Dimensional deviation,Accept,1.12,1.07,"Batch BATCH-46188 of Widget-Alpha inspected by QA-03 (Mike Torres). Dimensional deviation found in 13 of 170 units (7.6%). Disposition: Accept. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.12, Cpk: 1.07. Control chart shows upward drift suggesting tool wear.",Updated inspection sampling plan
QI-775885,2023-06-07,Pump-G10,BATCH-21980,QA-03 (Mike Torres),240,24,10.0,Coating defect,Rework,0.89,0.84,"Batch BATCH-21980 of Pump-G10 inspected by QA-03 (Mike Torres). Coating defect found in 24 of 240 units (10.0%). Disposition: Rework. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 0.89, Cpk: 0.84. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-475565,2023-05-18,Gear-M5,BATCH-55523,QA-01 (John Lee),169,10,5.92,Dimensional deviation,Hold for review,1.78,1.54,Final inspection of Gear-M5 (batch BATCH-55523). Overall yield: 94.1%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Adjusted feed rate on CNC-3
QI-388698,2024-09-05,Valve-X200,BATCH-84278,QA-01 (John Lee),336,18,5.36,Assembly gap,Hold for review,1.34,1.19,Final inspection of Valve-X200 (batch BATCH-84278). Overall yield: 94.6%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Retrained operator on torque spec
QI-913712,2024-09-27,Gear-M5,BATCH-69517,QA-01 (John Lee),280,9,3.21,Surface scratch,Rework,1.62,1.46,"Batch BATCH-69517 of Gear-M5 inspected by QA-01 (John Lee). Surface scratch found in 9 of 280 units (3.2%). Disposition: Rework. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.62, Cpk: 1.46. Control chart shows one-point-out-of-control signal at subgroup 12.",Replaced worn cutting insert
QI-529711,2024-10-18,Widget-Beta,BATCH-99551,QA-02 (Sara Novak),387,34,8.79,Weight out of spec,Accept,1.62,1.56,In-process inspection at Station 3 flagged Widget-Beta batch BATCH-99551. 34/387 units exhibited Weight out of spec. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-75214.,Calibrated CMM probe
QI-789880,2024-05-16,Valve-X200,BATCH-24031,QA-01 (John Lee),72,2,2.78,Surface scratch,Accept,0.98,0.97,"Batch BATCH-24031 of Valve-X200 inspected by QA-01 (John Lee). Surface scratch found in 2 of 72 units (2.8%). Disposition: Accept. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 0.98, Cpk: 0.97. Control chart shows bimodal distribution — two machines suspected.",Adjusted feed rate on CNC-3
QI-478458,2024-07-25,Gear-M5,BATCH-11715,QA-03 (Mike Torres),75,5,6.67,Weight out of spec,Scrap,1.02,0.8,In-process inspection at Station 8 flagged Gear-M5 batch BATCH-11715. 5/75 units exhibited Weight out of spec. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-37359.,Adjusted feed rate on CNC-3
QI-206142,2023-08-25,Pump-G10,BATCH-19225,QA-02 (Sara Novak),471,39,8.28,Weight out of spec,Accept,1.07,1.06,Final inspection of Pump-G10 (batch BATCH-19225). Overall yield: 91.7%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-02 (Sara Novak).,Replaced worn cutting insert
QI-807256,2024-04-14,Gear-M5,BATCH-83193,QA-02 (Sara Novak),319,15,4.7,Dimensional deviation,Rework,1.37,1.09,Final inspection of Gear-M5 (batch BATCH-83193). Overall yield: 95.3%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-02 (Sara Novak).,Adjusted feed rate on CNC-3
QI-985893,2024-01-16,Pump-G10,BATCH-79979,QA-01 (John Lee),331,25,7.55,Dimensional deviation,Rework,1.3,1.1,In-process inspection at Station 8 flagged Pump-G10 batch BATCH-79979. 25/331 units exhibited Dimensional deviation. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-88632.,Retrained operator on torque spec
QI-100205,2023-02-05,Pump-G10,BATCH-82120,QA-03 (Mike Torres),361,15,4.16,Assembly gap,Scrap,1.36,1.3,In-process inspection at Station 6 flagged Pump-G10 batch BATCH-82120. 15/361 units exhibited Assembly gap. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-43303.,Updated inspection sampling plan
QI-198867,2023-02-08,Valve-X200,BATCH-51275,QA-03 (Mike Torres),204,0,0.0,Surface scratch,Rework,1.1,1.03,Final inspection of Valve-X200 (batch BATCH-51275). Overall yield: 100.0%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-03 (Mike Torres).,Calibrated CMM probe
QI-869933,2023-03-21,Pump-G10,BATCH-43586,QA-02 (Sara Novak),185,11,5.95,Dimensional deviation,Rework,1.69,1.62,In-process inspection at Station 2 flagged Pump-G10 batch BATCH-43586. 11/185 units exhibited Dimensional deviation. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-49361.,Calibrated CMM probe
QI-182289,2023-02-27,Valve-X200,BATCH-22499,QA-02 (Sara Novak),472,44,9.32,Dimensional deviation,Hold for review,1.5,1.25,Final inspection of Valve-X200 (batch BATCH-22499). Overall yield: 90.7%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Adjusted feed rate on CNC-3
QI-649855,2023-02-12,Valve-X200,BATCH-95561,QA-02 (Sara Novak),494,7,1.42,Assembly gap,Hold for review,1.67,1.6,"Batch BATCH-95561 of Valve-X200 inspected by QA-02 (Sara Novak). Assembly gap found in 7 of 494 units (1.4%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.67, Cpk: 1.60. Control chart shows one-point-out-of-control signal at subgroup 12.",Updated inspection sampling plan
